koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_pdisposition,koi_score
9.488,170.539,0.146,2.958,615.8,2.26,793,93.59,35.8,1,5455,4.467,0.927,15.347,CONFIRMED,0,0,0,0,CANDIDATE,1.0
54.418,162.514,0.586,4.507,874.8,2.83,443,9.11,25.8,2,5455,4.467,0.927,15.347,CONFIRMED,0,0,0,0,CANDIDATE,0.969
19.899,175.851,0.969,1.782,10829.0,14.6,638,39.3,76.3,1,5853,4.544,0.868,15.436,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
1.737,170.308,1.276,1.401,8079.2,33.46,1396,891.96,48.9,1,5805,4.564,0.791,15.597,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
2.566,171.596,0.702,2.371,298.4,1.53,1103,347.46,21.4,1,5853,4.544,0.868,15.436,CONFIRMED,0,0,0,0,CANDIDATE,0.99
3.522,170.0,0.5,2.1,450.0,1.8,950,120.0,28.0,1,5600,4.4,0.95,14.5,CANDIDATE,0,0,0,0,CANDIDATE,0.8
11.2,165.2,0.3,3.1,720.0,2.5,700,50.0,40.0,1,5500,4.45,0.9,15.0,CONFIRMED,0,0,0,0,CANDIDATE,0.95
7.8,168.1,0.8,2.5,1200.0,3.1,850,80.0,32.0,1,5700,4.5,0.85,15.2,CONFIRMED,0,0,0,0,CANDIDATE,0.92
0.9,172.0,1.1,1.2,5000.0,12.0,1500,900.0,55.0,1,5900,4.55,0.8,15.8,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
4.2,169.5,0.4,2.8,380.0,1.6,1000,200.0,22.0,1,5650,4.48,0.88,14.9,CONFIRMED,0,0,0,0,CANDIDATE,0.97
15.6,160.0,0.6,3.5,900.0,2.9,600,25.0,30.0,1,5400,4.4,1.0,15.1,CONFIRMED,0,0,0,0,CANDIDATE,0.94
2.1,171.0,1.5,1.0,8000.0,20.0,1400,800.0,60.0,1,6000,4.6,0.75,16.0,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
8.5,167.0,0.25,2.9,550.0,2.0,780,70.0,33.0,1,5550,4.46,0.92,15.3,CONFIRMED,0,0,0,0,CANDIDATE,0.98
6.3,166.5,0.9,2.2,1500.0,4.0,820,90.0,27.0,1,5750,4.52,0.82,15.5,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.1
12.4,164.0,0.35,3.2,680.0,2.4,720,55.0,36.0,1,5480,4.43,0.96,14.8,CONFIRMED,0,0,0,0,CANDIDATE,0.96
1.1,173.0,,,1.5,,,,,,,,15.9,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
5.5,168.8,0.55,2.6,500.0,1.9,880,110.0,29.0,1,5620,4.47,0.89,15.0,CONFIRMED,0,0,0,0,CANDIDATE,0.93
22.0,158.0,0.7,4.0,1100.0,3.5,500,15.0,24.0,1,5300,4.35,1.1,14.6,CONFIRMED,0,0,0,0,CANDIDATE,0.91
3.8,170.2,1.2,1.8,6000.0,15.0,1300,700.0,50.0,1,5950,4.58,0.78,15.7,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
10.0,165.5,0.2,3.0,600.0,2.2,760,65.0,34.0,1,5520,4.44,0.94,15.15,CANDIDATE,0,0,0,0,CANDIDATE,0.85
18.5,161.0,0.45,3.8,800.0,2.7,650,35.0,31.0,1,5420,4.41,0.98,14.7,CONFIRMED,0,0,0,0,CANDIDATE,0.95
0.7,174.0,1.4,0.9,9000.0,25.0,1600,1000.0,70.0,1,6100,4.62,0.7,16.2,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
7.1,167.5,0.38,2.7,480.0,1.85,840,95.0,26.0,1,5580,4.45,0.91,15.25,CONFIRMED,0,0,0,0,CANDIDATE,0.94
13.2,163.0,0.65,3.4,950.0,3.0,680,40.0,28.0,1,5460,4.42,0.97,15.05,CONFIRMED,0,0,0,0,CANDIDATE,0.92
4.9,169.0,0.85,2.3,2000.0,5.0,900,150.0,38.0,1,5720,4.51,0.84,15.4,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.05
16.8,159.5,0.28,3.6,750.0,2.55,620,30.0,32.0,1,5380,4.38,1.05,14.55,CONFIRMED,0,0,0,0,CANDIDATE,0.97
2.8,171.2,1.05,1.6,4500.0,10.0,1200,500.0,45.0,1,5880,4.56,0.79,15.65,FALSE POSITIVE,0,0,0,0,FALSE POSITIVE,0.0
9.0,166.0,0.42,2.95,640.0,2.35,770,75.0,35.0,1,5540,4.445,0.93,15.2,CONFIRMED,0,0,0,0,CANDIDATE,0.96
6.0,168.0,0.5,2.4,420.0,1.7,860,105.0,23.0,1,5600,4.46,0.9,15.1,CANDIDATE,0,0,0,0,CANDIDATE,0.75
14.0,162.5,0.33,3.3,700.0,2.45,690,45.0,30.0,1,5440,4.4,0.99,14.9,CONFIRMED,0,0,0,0,CANDIDATE,0.95
